dataset,method,ratio,ratio_base,budget_mode,requested_target_budget,effective_target_prototypes,shadow_nodes_total,condensed_nodes_total,condensed_edges_total,effective_target_ratio,condensed_node_ratio_to_train_target,condensed_node_ratio_to_all_task_nodes,source_log
dblp,K-Center-HG,0.01,train_target,ratio,32,32,,32,0,,0.02629416598192276,0.007887601676115356,experiments/logs/small_ratio_grid/dblp_K_Center_HG_total_condensed_nodes_r0p01_seed0.json;experiments/logs/small_ratio_grid/dblp_K_Center_HG_total_condensed_nodes_r0p01_seed1.json;experiments/logs/small_ratio_grid/dblp_K_Center_HG_total_condensed_nodes_r0p01_seed2.json
dblp,K-Center-HG,0.02,train_target,ratio,24,24,,24,0,,0.01972062448644207,0.005915701257086517,experiments/logs/small_ratio_grid/dblp_K_Center_HG_target_ratio_r0p02_seed0.json;experiments/logs/small_ratio_grid/dblp_K_Center_HG_target_ratio_r0p02_seed1.json;experiments/logs/small_ratio_grid/dblp_K_Center_HG_target_ratio_r0p02_seed2.json
dblp,K-Center-HG,0.02,train_target,ratio,48,48,,48,0,,0.03944124897288414,0.011831402514173034,experiments/logs/small_ratio_grid/dblp_K_Center_HG_total_condensed_nodes_r0p02_seed0.json;experiments/logs/small_ratio_grid/dblp_K_Center_HG_total_condensed_nodes_r0p02_seed1.json;experiments/logs/small_ratio_grid/dblp_K_Center_HG_total_condensed_nodes_r0p02_seed2.json
dblp,K-Center-HG,0.05,train_target,ratio,122,122,,122,0,,0.10024650780608052,0.030071481390189794,experiments/logs/small_ratio_grid/dblp_K_Center_HG_total_condensed_nodes_r0p05_seed0.json;experiments/logs/small_ratio_grid/dblp_K_Center_HG_total_condensed_nodes_r0p05_seed1.json;experiments/logs/small_ratio_grid/dblp_K_Center_HG_total_condensed_nodes_r0p05_seed2.json
dblp,K-Center-HG,0.05,train_target,ratio,61,61,,61,0,,0.05012325390304026,0.015035740695094897,experiments/logs/small_ratio_grid/dblp_K_Center_HG_target_ratio_r0p05_seed0.json;experiments/logs/small_ratio_grid/dblp_K_Center_HG_target_ratio_r0p05_seed1.json;experiments/logs/small_ratio_grid/dblp_K_Center_HG_target_ratio_r0p05_seed2.json
dblp,Random-HG,0.005,train_target,ratio,16,16,,16,0,,0.01314708299096138,0.003943800838057678,experiments/logs/small_ratio_grid/dblp_Random_HG_target_ratio_r0p005_seed0.json;experiments/logs/small_ratio_grid/dblp_Random_HG_target_ratio_r0p005_seed1.json;experiments/logs/small_ratio_grid/dblp_Random_HG_target_ratio_r0p005_seed2.json
dblp,Random-HG,0.005,train_target,ratio,32,32,,32,0,,0.02629416598192276,0.007887601676115356,experiments/logs/small_ratio_grid/dblp_Random_HG_total_condensed_nodes_r0p005_seed0.json;experiments/logs/small_ratio_grid/dblp_Random_HG_total_condensed_nodes_r0p005_seed1.json;experiments/logs/small_ratio_grid/dblp_Random_HG_total_condensed_nodes_r0p005_seed2.json
dblp,Random-HG,0.01,train_target,ratio,16,16,,16,0,,0.01314708299096138,0.003943800838057678,experiments/logs/small_ratio_grid/dblp_Random_HG_target_ratio_r0p01_seed0.json;experiments/logs/small_ratio_grid/dblp_Random_HG_target_ratio_r0p01_seed1.json;experiments/logs/small_ratio_grid/dblp_Random_HG_target_ratio_r0p01_seed2.json
dblp,Random-HG,0.01,train_target,ratio,32,32,,32,0,,0.02629416598192276,0.007887601676115356,experiments/logs/small_ratio_grid/dblp_Random_HG_total_condensed_nodes_r0p01_seed0.json;experiments/logs/small_ratio_grid/dblp_Random_HG_total_condensed_nodes_r0p01_seed1.json;experiments/logs/small_ratio_grid/dblp_Random_HG_total_condensed_nodes_r0p01_seed2.json
dblp,Random-HG,0.02,train_target,ratio,24,24,,24,0,,0.01972062448644207,0.005915701257086517,experiments/logs/small_ratio_grid/dblp_Random_HG_target_ratio_r0p02_seed0.json;experiments/logs/small_ratio_grid/dblp_Random_HG_target_ratio_r0p02_seed1.json;experiments/logs/small_ratio_grid/dblp_Random_HG_target_ratio_r0p02_seed2.json
