dataset,variant,seed,status,reason,accuracy,macro_f1,weighted_f1,predicted_class_count,prediction_entropy,gate_acc,gate_acc_passed,recovery_gate,recovery_gate_passed,model_type,enabled_blocks,block_dims,block_gates,metapath_blocks,skipped_metapaths,uses_diffusion,uses_dense_p2,uses_dense_metapath_adjacency,uses_full_graph_backprop,uses_e_by_d_materialization,cache_all_targets,edge_scans_by_block,cache_bytes_by_block,disk_bytes,training_time_s,inference_time_s,wall_time_s,peak_cpu_ram_gb,peak_gpu_ram_gb,medium_execution_mode,allocation_failure,source_log
dblp,DBLP_APA_only,42,diagnostic_existing,completed,0.6355633735656738,0.6332688480615616,0.6334858400243727,4,1.2166380602795506,0.91,False,0.84,False,sfb_v2,"[""self"", ""typed:written_by"", ""metapath:APA"", ""metapath:APVPA"", ""metapath:APTPA""]","{""metapath:APA"": 334, ""metapath:APTPA"": 334, ""metapath:APVPA"": 334, ""self"": 334, ""typed:written_by"": 4231}","{""metapath:APA"": 0.686633288860321, ""metapath:APTPA"": 0.6911433339118958, ""metapath:APVPA"": 0.694572389125824, ""typed:written_by"": 0.7008041739463806}","[""APA""]","{""APCPA"": ""schema_missing""}",False,False,False,False,False,False,"{""metapath:APA"": 2, ""metapath:APTPA"": 4, ""metapath:APVPA"": 4, ""typed:written_by"": 1}","{""metapath:APA"": 5420152, ""metapath:APTPA"": 5420152, ""metapath:APVPA"": 5420152, ""typed:written_by"": 68660668}",0,4.830876400000001,0.0,4.921306600000001,2.6743316650390625,0.0,small_full_schema,,experiments\logs\t0s_sfb_v2_fullgraph_seed42\dblp_B2_metapath_seed42.json
dblp,DBLP_APA_APVPA,42,diagnostic_existing,completed,0.6355633735656738,0.6332688480615616,0.6334858400243727,4,1.2166380602795506,0.91,False,0.84,False,sfb_v2,"[""self"", ""typed:written_by"", ""metapath:APA"", ""metapath:APVPA"", ""metapath:APTPA""]","{""metapath:APA"": 334, ""metapath:APTPA"": 334, ""metapath:APVPA"": 334, ""self"": 334, ""typed:written_by"": 4231}","{""metapath:APA"": 0.686633288860321, ""metapath:APTPA"": 0.6911433339118958, ""metapath:APVPA"": 0.694572389125824, ""typed:written_by"": 0.7008041739463806}","[""APA"", ""APVPA""]","{""APCPA"": ""schema_missing""}",False,False,False,False,False,False,"{""metapath:APA"": 2, ""metapath:APTPA"": 4, ""metapath:APVPA"": 4, ""typed:written_by"": 1}","{""metapath:APA"": 5420152, ""metapath:APTPA"": 5420152, ""metapath:APVPA"": 5420152, ""typed:written_by"": 68660668}",0,4.830876400000001,0.0,4.921306600000001,2.6743316650390625,0.0,small_full_schema,,experiments\logs\t0s_sfb_v2_fullgraph_seed42\dblp_B2_metapath_seed42.json
dblp,DBLP_APA_APVPA_APTPA,42,diagnostic_existing,completed,0.6355633735656738,0.6332688480615616,0.6334858400243727,4,1.2166380602795506,0.91,False,0.84,False,sfb_v2,"[""self"", ""typed:written_by"", ""metapath:APA"", ""metapath:APVPA"", ""metapath:APTPA""]","{""metapath:APA"": 334, ""metapath:APTPA"": 334, ""metapath:APVPA"": 334, ""self"": 334, ""typed:written_by"": 4231}","{""metapath:APA"": 0.686633288860321, ""metapath:APTPA"": 0.6911433339118958, ""metapath:APVPA"": 0.694572389125824, ""typed:written_by"": 0.7008041739463806}","[""APA"", ""APVPA"", ""APTPA""]","{""APCPA"": ""schema_missing""}",False,False,False,False,False,False,"{""metapath:APA"": 2, ""metapath:APTPA"": 4, ""metapath:APVPA"": 4, ""typed:written_by"": 1}","{""metapath:APA"": 5420152, ""metapath:APTPA"": 5420152, ""metapath:APVPA"": 5420152, ""typed:written_by"": 68660668}",0,4.830876400000001,0.0,4.921306600000001,2.6743316650390625,0.0,small_full_schema,,experiments\logs\t0s_sfb_v2_fullgraph_seed42\dblp_B2_metapath_seed42.json
dblp,DBLP_APA_APVPA_APTPA_APCPA,42,diagnostic_existing,APCPA schema_missing in local DBLP full schema,0.6355633735656738,0.6332688480615616,0.6334858400243727,4,1.2166380602795506,0.91,False,0.84,False,sfb_v2,"[""self"", ""typed:written_by"", ""metapath:APA"", ""metapath:APVPA"", ""metapath:APTPA""]","{""metapath:APA"": 334, ""metapath:APTPA"": 334, ""metapath:APVPA"": 334, ""self"": 334, ""typed:written_by"": 4231}","{""metapath:APA"": 0.686633288860321, ""metapath:APTPA"": 0.6911433339118958, ""metapath:APVPA"": 0.694572389125824, ""typed:written_by"": 0.7008041739463806}","[""APA"", ""APVPA"", ""APTPA"", ""APCPA""]","{""APCPA"": ""schema_missing""}",False,False,False,False,False,False,"{""metapath:APA"": 2, ""metapath:APTPA"": 4, ""metapath:APVPA"": 4, ""typed:written_by"": 1}","{""metapath:APA"": 5420152, ""metapath:APTPA"": 5420152, ""metapath:APVPA"": 5420152, ""typed:written_by"": 68660668}",0,4.830876400000001,0.0,4.921306600000001,2.6743316650390625,0.0,small_full_schema,,experiments\logs\t0s_sfb_v2_fullgraph_seed42\dblp_B2_metapath_seed42.json
imdb,B0_self,42,completed,completed,0.3332292437553406,0.2967915952205658,0.3260893605530315,5,1.4340534980882036,0.6,False,0.45,False,sfb_v2,"[""self""]","{""self"": 3489}",{},[],{},False,False,False,False,False,False,{},{},0,5.839185299999997,0.0,5.841076600000001,2.6413230895996094,0.0,small_full_schema,,experiments\logs\t0s_sfb_v2_fullgraph_seed42\imdb_B0_self_seed42.json
imdb,B1_typed_demand,42,completed,completed,0.3475952446460724,0.2827941611409187,0.32805823537319,5,1.2358875084032088,0.6,False,0.45,False,sfb_v2,"[""self"", ""typed:directs"", ""typed:acts_in""]","{""self"": 3489, ""typed:acts_in"": 3341, ""typed:directs"": 3341}","{""typed:acts_in"": 0.7054798007011414, ""typed:directs"": 0.7024610042572021}",[],{},False,False,False,False,False,False,"{""typed:acts_in"": 1, ""typed:directs"": 1}","{""typed:acts_in"": 65911248, ""typed:directs"": 65911248}",0,11.054215499999998,0.0,11.093343500000003,2.6685943603515625,0.0,small_full_schema,,experiments\logs\t0s_sfb_v2_fullgraph_seed42\imdb_B1_typed_demand_seed42.json
imdb,B2_metapath,42,completed,completed,0.35352903604507446,0.2843838885426521,0.335682670482627,5,1.2000303256758664,0.6,False,0.45,False,sfb_v2,"[""self"", ""typed:directs"", ""typed:acts_in"", ""metapath:MAM"", ""metapath:MDM"", ""metapath:MKM""]","{""metapath:MAM"": 3489, ""metapath:MDM"": 3489, ""metapath:MKM"": 3489, ""self"": 3489, ""typed:acts_in"": 3341, ""typed:directs"": 3341}","{""metapath:MAM"": 0.6960462927818298, ""metapath:MDM"": 0.6909087896347046, ""metapath:MKM"": 0.6968992352485657, ""typed:acts_in"": 0.6942358016967773, ""typed:directs"": 0.6882330179214478}","[""metapath:MAM"", ""metapath:MDM"", ""metapath:MKM""]",{},False,False,False,False,False,False,"{""metapath:MAM"": 2, ""metapath:MDM"": 2, ""metapath:MKM"": 2, ""typed:acts_in"": 1, ""typed:directs"": 1}","{""metapath:MAM"": 68830992, ""metapath:MDM"": 68830992, ""metapath:MKM"": 68830992, ""typed:acts_in"": 65911248, ""typed:directs"": 65911248}",0,16.6493945,0.0,16.8544876,3.0283050537109375,0.0,small_full_schema,,experiments\logs\t0s_sfb_v2_fullgraph_seed42\imdb_B2_metapath_seed42.json
imdb,B3_scap_v2,42,completed,completed,0.35352903604507446,0.2843838885426521,0.335682670482627,5,1.2000303256758664,0.6,False,0.45,False,sfb_v2,"[""self"", ""typed:directs"", ""typed:acts_in"", ""metapath:MAM"", ""metapath:MDM"", ""metapath:MKM""]","{""metapath:MAM"": 3489, ""metapath:MDM"": 3489, ""metapath:MKM"": 3489, ""self"": 3489, ""typed:acts_in"": 3341, ""typed:directs"": 3341}","{""metapath:MAM"": 0.6960462927818298, ""metapath:MDM"": 0.6909087896347046, ""metapath:MKM"": 0.6968992352485657, ""typed:acts_in"": 0.6942358016967773, ""typed:directs"": 0.6882330179214478}","[""metapath:MAM"", ""metapath:MDM"", ""metapath:MKM""]",{},False,False,False,False,False,False,"{""metapath:MAM"": 2, ""metapath:MDM"": 2, ""metapath:MKM"": 2, ""typed:acts_in"": 1, ""typed:directs"": 1}","{""metapath:MAM"": 68830992, ""metapath:MDM"": 68830992, ""metapath:MKM"": 68830992, ""typed:acts_in"": 65911248, ""typed:directs"": 65911248}",0,16.514373500000005,0.0,16.722486200000006,3.0223159790039062,0.0,small_full_schema,,experiments\logs\t0s_sfb_v2_fullgraph_seed42\imdb_B3_scap_v2_seed42.json
imdb,B4_logit_prop,42,completed,completed,0.35352903604507446,0.2843838885426521,0.335682670482627,5,1.2000303256758664,0.6,False,0.45,False,sfb_v2,"[""self"", ""typed:directs"", ""typed:acts_in"", ""metapath:MAM"", ""metapath:MDM"", ""metapath:MKM""]","{""metapath:MAM"": 3489, ""metapath:MDM"": 3489, ""metapath:MKM"": 3489, ""self"": 3489, ""typed:acts_in"": 3341, ""typed:directs"": 3341}","{""metapath:MAM"": 0.6960462927818298, ""metapath:MDM"": 0.6909087896347046, ""metapath:MKM"": 0.6968992352485657, ""typed:acts_in"": 0.6942358016967773, ""typed:directs"": 0.6882330179214478}","[""metapath:MAM"", ""metapath:MDM"", ""metapath:MKM""]",{},False,False,False,False,False,False,"{""metapath:MAM"": 2, ""metapath:MDM"": 2, ""metapath:MKM"": 2, ""typed:acts_in"": 1, ""typed:directs"": 1}","{""metapath:MAM"": 68830992, ""metapath:MDM"": 68830992, ""metapath:MKM"": 68830992, ""typed:acts_in"": 65911248, ""typed:directs"": 65911248}",0,16.5697871,0.0,16.773331600000006,3.0055160522460938,0.0,small_full_schema,,experiments\logs\t0s_sfb_v2_fullgraph_seed42\imdb_B4_logit_prop_seed42.json
ogbn-arxiv,B0_self,42,completed,completed_bounded_edges_5000000,0.35767340660095215,0.09558469322510063,0.3037463948870476,16,1.836801466713483,0.7,False,0.7,False,sfb_v2,"[""self""]","{""self"": 64}",{},[],{},False,False,False,False,False,False,{},{},0,0.6462647999999831,0.0,0.6599041000000057,3.126789093017578,0.0,bounded_edges,,experiments\logs\t0s_sfb_v2_fullgraph_seed42\ogbn-arxiv_B0_self_seed42.json
