dataset,variant,loss_type,seed,ratio,accuracy,macro_f1,predicted_class_count,prediction_entropy,shadow_recon_err_by_relation,effective_rank_by_relation,M_r_by_relation,b_by_relation,relation_gate_values,condensed_nodes_total,condensed_edges_total,status,source_log
imdb,full_rplus,sqrt_weighted,42,0.005,0.3660212457180023,0.3335452139377594,5,1.4900654463124452,"{""actor--acts_in-->movie"": 0.005538671010246352, ""director--directs-->movie"": 0.00022485038763166986, ""keyword--keyword_in-->movie"": 0.02580917333799905}","{""actor--acts_in-->movie"": 13.11690902709961, ""director--directs-->movie"": 12.374446868896484, ""keyword--keyword_in-->movie"": 8.995492935180664}","{""actor--acts_in-->movie"": 40, ""director--directs-->movie"": 38, ""keyword--keyword_in-->movie"": 28}","{""actor--acts_in-->movie"": 1, ""director--directs-->movie"": 1, ""keyword--keyword_in-->movie"": 1}","{""actor--acts_in-->movie"": 1.3465584516525269, ""director--directs-->movie"": 1.3470786809921265, ""keyword--keyword_in-->movie"": 0.788650631904602}",126,60,completed,experiments\logs\imdb_rescue_rplus_seed42\imdb_full_rplus_sqrt_weighted_r0p005_seed42.json
imdb,full_rplus,class_balanced,42,0.005,0.37164270877838135,0.33698164522647855,5,1.5092931729473733,"{""actor--acts_in-->movie"": 0.005538671010246352, ""director--directs-->movie"": 0.00022485038763166986, ""keyword--keyword_in-->movie"": 0.02580917333799905}","{""actor--acts_in-->movie"": 13.11690902709961, ""director--directs-->movie"": 12.374446868896484, ""keyword--keyword_in-->movie"": 8.995492935180664}","{""actor--acts_in-->movie"": 40, ""director--directs-->movie"": 38, ""keyword--keyword_in-->movie"": 28}","{""actor--acts_in-->movie"": 1, ""director--directs-->movie"": 1, ""keyword--keyword_in-->movie"": 1}","{""actor--acts_in-->movie"": 1.3705196380615234, ""director--directs-->movie"": 1.3743420839309692, ""keyword--keyword_in-->movie"": 0.7741811275482178}",126,60,completed,experiments\logs\imdb_rescue_rplus_seed42\imdb_full_rplus_class_balanced_r0p005_seed42.json
imdb,full_rplus,clipped,42,0.025,0.36664584279060364,0.3362750709056854,5,1.525780210074696,"{""actor--acts_in-->movie"": 0.02083071820653935, ""director--directs-->movie"": 0.008568545099051337, ""keyword--keyword_in-->movie"": 0.0018821299124482502}","{""actor--acts_in-->movie"": 25.93387222290039, ""director--directs-->movie"": 26.987058639526367, ""keyword--keyword_in-->movie"": 22.62639808654785}","{""actor--acts_in-->movie"": 68, ""director--directs-->movie"": 68, ""keyword--keyword_in-->movie"": 68}","{""actor--acts_in-->movie"": 1, ""director--directs-->movie"": 1, ""keyword--keyword_in-->movie"": 1}","{""actor--acts_in-->movie"": 1.2796980142593384, ""director--directs-->movie"": 1.2828339338302612, ""keyword--keyword_in-->movie"": 0.8077306151390076}",238,102,completed,experiments\logs\imdb_rescue_rplus_seed42\imdb_full_rplus_clipped_r0p025_seed42.json
imdb,full_rplus,sqrt_weighted,42,0.025,0.3575890064239502,0.33696621358394624,5,1.562857263486209,"{""actor--acts_in-->movie"": 0.02083071820653935, ""director--directs-->movie"": 0.008568545099051337, ""keyword--keyword_in-->movie"": 0.0018821299124482502}","{""actor--acts_in-->movie"": 25.93387222290039, ""director--directs-->movie"": 26.987058639526367, ""keyword--keyword_in-->movie"": 22.62639808654785}","{""actor--acts_in-->movie"": 68, ""director--directs-->movie"": 68, ""keyword--keyword_in-->movie"": 68}","{""actor--acts_in-->movie"": 1, ""director--directs-->movie"": 1, ""keyword--keyword_in-->movie"": 1}","{""actor--acts_in-->movie"": 1.310279130935669, ""director--directs-->movie"": 1.3059545755386353, ""keyword--keyword_in-->movie"": 0.7920132875442505}",238,102,completed,experiments\logs\imdb_rescue_rplus_seed42\imdb_full_rplus_sqrt_weighted_r0p025_seed42.json
imdb,full_rplus,class_balanced,42,0.025,0.3647720217704773,0.3206813007593155,5,1.458363509916907,"{""actor--acts_in-->movie"": 0.02083071820653935, ""director--directs-->movie"": 0.008568545099051337, ""keyword--keyword_in-->movie"": 0.0018821299124482502}","{""actor--acts_in-->movie"": 25.93387222290039, ""director--directs-->movie"": 26.987058639526367, ""keyword--keyword_in-->movie"": 22.62639808654785}","{""actor--acts_in-->movie"": 68, ""director--directs-->movie"": 68, ""keyword--keyword_in-->movie"": 68}","{""actor--acts_in-->movie"": 1, ""director--directs-->movie"": 1, ""keyword--keyword_in-->movie"": 1}","{""actor--acts_in-->movie"": 1.2804796695709229, ""director--directs-->movie"": 1.3120495080947876, ""keyword--keyword_in-->movie"": 0.8037439584732056}",238,102,completed,experiments\logs\imdb_rescue_rplus_seed42\imdb_full_rplus_class_balanced_r0p025_seed42.json
imdb,full_rplus,clipped,42,0.05,0.34853217005729675,0.3348509669303894,5,1.5699390098492594,"{""actor--acts_in-->movie"": 0.013105370720534613, ""director--directs-->movie"": 0.011346458357583506, ""keyword--keyword_in-->movie"": 0.019965261592769804}","{""actor--acts_in-->movie"": 50.21866989135742, ""director--directs-->movie"": 37.552520751953125, ""keyword--keyword_in-->movie"": 44.55453872680664}","{""actor--acts_in-->movie"": 138, ""director--directs-->movie"": 138, ""keyword--keyword_in-->movie"": 138}","{""actor--acts_in-->movie"": 1, ""director--directs-->movie"": 1, ""keyword--keyword_in-->movie"": 1}","{""actor--acts_in-->movie"": 1.33412504196167, ""director--directs-->movie"": 1.3289875984191895, ""keyword--keyword_in-->movie"": 0.7906262874603271}",483,207,completed,experiments\logs\imdb_rescue_rplus_seed42\imdb_full_rplus_clipped_r0p05_seed42.json
imdb,full_rplus,sqrt_weighted,42,0.05,0.3504059910774231,0.3303209215402603,5,1.5494106305466697,"{""actor--acts_in-->movie"": 0.013105370720534613, ""director--directs-->movie"": 0.011346458357583506, ""keyword--keyword_in-->movie"": 0.019965261592769804}","{""actor--acts_in-->movie"": 50.21866989135742, ""director--directs-->movie"": 37.552520751953125, ""keyword--keyword_in-->movie"": 44.55453872680664}","{""actor--acts_in-->movie"": 138, ""director--directs-->movie"": 138, ""keyword--keyword_in-->movie"": 138}","{""actor--acts_in-->movie"": 1, ""director--directs-->movie"": 1, ""keyword--keyword_in-->movie"": 1}","{""actor--acts_in-->movie"": 1.3168033361434937, ""director--directs-->movie"": 1.3546556234359741, ""keyword--keyword_in-->movie"": 0.7955339550971985}",483,207,completed,experiments\logs\imdb_rescue_rplus_seed42\imdb_full_rplus_sqrt_weighted_r0p05_seed42.json
imdb,full_rplus,class_balanced,42,0.05,0.3713304102420807,0.34243838787078856,5,1.5352124663839024,"{""actor--acts_in-->movie"": 0.013105370720534613, ""director--directs-->movie"": 0.011346458357583506, ""keyword--keyword_in-->movie"": 0.019965261592769804}","{""actor--acts_in-->movie"": 50.21866989135742, ""director--directs-->movie"": 37.552520751953125, ""keyword--keyword_in-->movie"": 44.55453872680664}","{""actor--acts_in-->movie"": 138, ""director--directs-->movie"": 138, ""keyword--keyword_in-->movie"": 138}","{""actor--acts_in-->movie"": 1, ""director--directs-->movie"": 1, ""keyword--keyword_in-->movie"": 1}","{""actor--acts_in-->movie"": 1.312472939491272, ""director--directs-->movie"": 1.3163669109344482, ""keyword--keyword_in-->movie"": 0.7926567196846008}",483,207,completed,experiments\logs\imdb_rescue_rplus_seed42\imdb_full_rplus_class_balanced_r0p05_seed42.json
imdb,metapath,clipped,42,0.025,0.35852593183517456,0.30978835225105283,5,1.5314289968057788,"{""actor--acts_in-->movie"": 0.9890690040588741, ""director--directs-->movie"": 1.0050674962931696, ""keyword--keyword_in-->movie"": 0.9710839394334917}","{""actor--acts_in-->movie"": 25.93387222290039, ""director--directs-->movie"": 26.987058639526367, ""keyword--keyword_in-->movie"": 22.62639808654785}","{""actor--acts_in-->movie"": 12, ""director--directs-->movie"": 12, ""keyword--keyword_in-->movie"": 12}","{""actor--acts_in-->movie"": 1, ""director--directs-->movie"": 1, ""keyword--keyword_in-->movie"": 1}","{""actor--acts_in-->movie"": 1.0, ""director--directs-->movie"": 1.0, ""keyword--keyword_in-->movie"": 1.0}",70,102,completed,experiments\logs\imdb_rescue_rplus_seed42\imdb_metapath_clipped_r0p025_seed42.json
imdb,metapath,sqrt_weighted,42,0.025,0.35134291648864746,0.3023628830909729,5,1.5309583450354827,"{""actor--acts_in-->movie"": 0.9890690040588741, ""director--directs-->movie"": 1.0050674962931696, ""keyword--keyword_in-->movie"": 0.9710839394334917}","{""actor--acts_in-->movie"": 25.93387222290039, ""director--directs-->movie"": 26.987058639526367, ""keyword--keyword_in-->movie"": 22.62639808654785}","{""actor--acts_in-->movie"": 12, ""director--directs-->movie"": 12, ""keyword--keyword_in-->movie"": 12}","{""actor--acts_in-->movie"": 1, ""director--directs-->movie"": 1, ""keyword--keyword_in-->movie"": 1}","{""actor--acts_in-->movie"": 1.0, ""director--directs-->movie"": 1.0, ""keyword--keyword_in-->movie"": 1.0}",70,102,completed,experiments\logs\imdb_rescue_rplus_seed42\imdb_metapath_sqrt_weighted_r0p025_seed42.json
