dataset,row_kind,model_type,selection_protocol,selection_score,selected_blocks,status,reason,accuracy,macro_f1,predicted_class_count,valid_acc,valid_macro_f1,class_coverage,safe_baseline,safe_baseline_acc,safe_baseline_macro_f1,delta_acc_vs_safe,delta_macro_f1_vs_safe,full_edge_scans,edge_chunk_size,dst_chunk_size,feature_dim,num_blocks,cache_bytes,peak_cpu_ram_gb,peak_gpu_ram_gb,wall_time_s,uses_memmap,uses_logits_as_input,uses_teacher_logits,uses_kd,uses_dense_p2,uses_bounded_edges,uses_e_by_d_materialization,uses_diffusion_legacy,uses_full_graph_backprop,uses_train_labels_only,source_log
acm,final,gamlp_lite,acc_macro_coverage,1.176967434088389,"[""B0_self"", ""B1_typed"", ""B2_metapath"", ""B3_lad_scap""]",promoted,validation_selected_and_safe_improved,0.9206798672676086,0.9211405118306478,3,0.939226508140564,0.9387046297391256,1.0,SFB-v2 B3_scap_v2 retained,0.915486,0.91658,0.005193867267608621,0.004560511830647873,18,65536,200000,128,13,76968100,2.4338531494140625,0.0,16.567174400000003,False,False,False,False,False,False,False,False,False,True,experiments\logs\t2_sft_safe_block_selection_seed42\acm_final_gamlp_lite_seed42.json
dblp,final,gamlp_lite,acc_macro_coverage,1.1904118627309799,"[""B0_self"", ""B1_typed"", ""B2_metapath"", ""B3_lad_scap""]",promoted,validation_selected_and_safe_improved,0.9426056146621704,0.9387593418359756,4,0.9506173133850098,0.9489727467298508,1.0,R+ relation-linear current-best,0.836972,0.829937,0.10563361466217036,0.10882234183597561,13,65536,200000,128,6,20479736,2.7558135986328125,0.0,6.800396200000002,False,False,False,False,False,False,False,False,False,True,experiments\logs\t2_sft_safe_block_selection_seed42\dblp_final_gamlp_lite_seed42.json
imdb,final,sagn_lite,acc_macro_coverage,0.616212739944458,"[""B0_self"", ""B1_typed"", ""B2_metapath"", ""B4_structure""]",promoted,validation_selected_and_safe_improved,0.47158026695251465,0.3900045245885849,5,0.48905110359191895,0.3858081817626953,1.0,clean S1 MAM/MDM/MKM,0.42411,0.353932,0.04747026695251466,0.0360725245885849,9,65536,200000,128,7,214719552,3.4654312133789062,0.0,8.705126599999996,False,False,False,False,False,False,False,False,False,False,experiments\logs\t2_sft_safe_block_selection_seed42\imdb_final_sagn_lite_seed42.json
ogbn-arxiv,final,sagn_lite,acc_macro_coverage,0.7328903097552912,"[""B0_self"", ""B1_typed"", ""B3_lad_scap""]",blocked_class_collapse,predicted_class_count<35,0.6105796098709106,0.32606273433193567,27,0.6250545382499695,0.34632171466946604,0.7714285714285715,LAD_reference,0.596774,0.415452,0.013805609870910618,-0.08938926566806432,4,65536,200000,64,5,184245184,3.7098655700683594,0.0,28.399052999999995,False,False,False,False,False,False,False,False,False,True,experiments\logs\t2_sft_safe_block_selection_seed42\ogbn-arxiv_final_sagn_lite_seed42.json
ogbn-products,final,sft_table_teacher_v2,full_products_execution,,"[""self"", ""x1_co_purchase"", ""x1_co_purchased_by""]",completed,lazy_memmap_gpu_sft_completed,0.7029715452279188,0.3420856155760991,40,,,,R++ base shadow-fusion / LAD_reference,0.668908,0.338064,0.03406354522791888,0.004021615576099147,2,65536,200000,64,,940427136,2.1425247192382812,0.747955322265625,,True,False,False,False,False,False,False,False,False,False,
