dataset,variant,seed,status,reason,requested_ratio,fullgraph_gate_passed,promoted,diagnostic_only,invalid_reasons,accuracy,macro_f1,weighted_f1,predicted_class_count,total_condensed_node_ratio,model_type,feature_mode,metapath_blocks,path_lad_blocks,loss_type,hidden_dim,dropout,lr,use_kd,use_diffusion,use_source_anchors,use_coverage_medoid,block_norm_stats_source,teacher_val_acc,kd_gate_passed,kd_skip_reason,source_log
ogbn-arxiv,LAD_reference,42,diagnostic_existing,existing no-diffusion LAD_reference diagnostic retained; no P2/diffusion path run,0.06,False,False,True,[],0.590210497379303,0.40769136818125845,0.5825832531998022,39,0.03663570386729891,compiled_demand_mlp,schema_default_metapath,[],[],,,,,False,False,False,False,,,False,,experiments\logs\lad_stage_medium_seed42\ogbn-arxiv_V2_compiled_plus_lad_r0p06_seed42.json
ogbn-arxiv,LAD_reference_with_fixed_block_stats,42,skipped_blocked_by_fullgraph_backbone,ogbn-arxiv fullgraph teacher gate did not pass; no-diffusion LAD_reference retained as diagnostic,0.06,False,False,True,[],,,,,,compiled_demand_mlp,label_affinity,[],[],,,,,False,False,False,False,,,False,,
ogbn-arxiv,stronger_table_head,42,skipped_blocked_by_fullgraph_backbone,ogbn-arxiv fullgraph teacher gate did not pass; no-diffusion LAD_reference retained as diagnostic,0.06,False,False,True,[],,,,,,compiled_demand_mlp,label_affinity,[],[],,,,,False,False,False,False,,,False,,
ogbn-arxiv,LAD_reference,42,diagnostic_existing,existing no-diffusion LAD_reference diagnostic retained; no P2/diffusion path run,0.12,False,False,True,[],0.5967738628387451,0.4154518236406147,0.5901925861726638,40,0.06941532865249818,compiled_demand_mlp,schema_default_metapath,[],[],,,,,False,False,False,False,,,False,,experiments\logs\lad_stage_medium_seed42\ogbn-arxiv_V2_compiled_plus_lad_r0p12_seed42.json
ogbn-arxiv,LAD_reference_with_fixed_block_stats,42,skipped_blocked_by_fullgraph_backbone,ogbn-arxiv fullgraph teacher gate did not pass; no-diffusion LAD_reference retained as diagnostic,0.12,False,False,True,[],,,,,,compiled_demand_mlp,label_affinity,[],[],,,,,False,False,False,False,,,False,,
ogbn-arxiv,stronger_table_head,42,skipped_blocked_by_fullgraph_backbone,ogbn-arxiv fullgraph teacher gate did not pass; no-diffusion LAD_reference retained as diagnostic,0.12,False,False,True,[],,,,,,compiled_demand_mlp,label_affinity,[],[],,,,,False,False,False,False,,,False,,
