dataset,ratio,variant,seed,status,accuracy,macro_f1,weighted_f1,predicted_class_count,prediction_entropy,condensed_nodes_total,condensed_edges_total,total_condensed_node_ratio,byte_size_compression,compiled_head,label_affinity,boundary_prototypes,loss_type,train_time_s,inference_time_s,lad_precompute_time_s,peak_cpu_ram_mb,peak_gpu_ram_mb,reason,source_log
imdb,0.025,FullDemandTable-MLP,42,completed,0.3797626495361328,0.3427328407764435,0.3826799518418636,5,1.550524944960062,70,102,0.0032679738562091504,0.00328096708031369,True,True,False,,35.6626716,0.08054489999999959,0.01263930000000002,2517712896,0,,experiments\logs\lad_stage_diagnostics_seed42\imdb_FullDemandTable-MLP_r0p025_seed42.json
ogbn-arxiv,0.12,FullDemandTable-MLP,42,completed,0.6615641117095947,0.4024657105095685,0.6347454244603976,36,2.3726784066451687,11755,52233,0.06941532865249818,0.054619618885016895,True,True,False,,772.8591473,0.502740200000062,0.05220660000000521,3282481152,0,,experiments\logs\lad_stage_diagnostics_seed42\ogbn-arxiv_FullDemandTable-MLP_r0p12_seed42.json
ogbn-products,0.12,FullDemandTable-MLP,42,completed,0.6884398460388184,0.33906127453008866,0.6508143028560763,28,2.3393426099087398,23500,136050,0.009595639741301553,0.002620849258616418,True,True,False,,1718.7532228000002,45.45534499999985,3.6714827000000696,15891746816,0,,experiments\logs\lad_stage_diagnostics_seed42\ogbn-products_FullDemandTable-MLP_r0p12_seed42.json
acm,0.096,PrototypeOracleDemand-MLP,42,completed,0.8423040509223938,0.8379920721054077,0.8373572860363673,3,1.0768864477942892,218,606,0.01992323158471943,0.01898911142144519,True,True,False,,4.518421600000238,0.038532000000031985,0.024664499999744294,19491213312,0,,experiments\logs\lad_stage_diagnostics_seed42\acm_PrototypeOracleDemand-MLP_r0p096_seed42.json
imdb,0.025,PrototypeOracleDemand-MLP,42,completed,0.44597128033638,0.38515324592590333,0.4304563913855092,5,1.4271610992592845,70,102,0.0032679738562091504,0.00328096708031369,True,True,False,,2.478176600000097,0.06055090000018026,0.007817800000339048,19552280576,0,,experiments\logs\lad_stage_diagnostics_seed42\imdb_PrototypeOracleDemand-MLP_r0p025_seed42.json
ogbn-arxiv,0.12,PrototypeOracleDemand-MLP,42,completed,0.6143036484718323,0.4351398449391127,0.6075777975196451,40,2.6709623258585653,11755,52233,0.06941532865249818,0.054619618885016895,True,True,False,,95.44756910000024,0.1848776000001635,0.07247350000034203,20028723200,0,,experiments\logs\lad_stage_diagnostics_seed42\ogbn-arxiv_PrototypeOracleDemand-MLP_r0p12_seed42.json
ogbn-products,0.12,PrototypeOracleDemand-MLP,42,completed,0.6576123833656311,0.34700454434161965,0.6486974311390249,32,2.5557684537586294,23500,136050,0.009595639741301553,0.002620849258616418,True,True,False,,186.03629210000008,43.641407999999956,5.161474800000178,23053901824,0,,experiments\logs\lad_stage_diagnostics_seed42\ogbn-products_PrototypeOracleDemand-MLP_r0p12_seed42.json
