dataset,method,requested_full_node_ratio,actual_full_node_ratio,scale_bucket,status,fullgraph_acc,identity_acc,prototype_oracle_acc,shadow_condensed_acc,accuracy,macro_f1,full_to_identity_gap,identity_to_oracle_gap,oracle_to_shadow_gap,full_to_shadow_gap,target_prototypes,shadow_nodes,total_condensed_nodes,condensed_edges,byte_size_compression,feature_cache_bytes,condensation_time_s,training_time_s,inference_time_s,peak_cpu_ram_gb,peak_gpu_ram_gb,uses_logits_as_input,uses_teacher_logits,uses_kd,uses_dense_p2,uses_legacy_diffusion,uses_coverage_medoid,uses_source_anchors,uses_bounded_edges,uses_e_by_d,is_proxy,promotion_status,promotion_reason
ogbn-products,P0_identity_replay,0.0025,0.0025001745589782725,large,completed_fullgraph_replay,0.7555780580193042,0.7555780580193042,,,0.7555780580193042,0.4046991170720907,0.0,,,,4102,2021,6123,0,,209984820,,,,,,False,False,False,False,False,False,False,False,False,False,not_promoted,identity replay is reference only
ogbn-products,P2_shadow_condensed_centroid_b1,0.0025,0.0024969079582152763,large,completed_streaming,0.7555780580193042,,,0.13638074530148106,0.13638074530148106,0.11768598356857071,,,,0.6191973127178232,4094,2021,6115,8188,,209984820,,0.1728334000000018,4.087207300000003,,,False,False,False,False,False,False,False,False,False,False,not_promoted,streaming SFT coreset over memmap block signatures
ogbn-products,P3_shadow_condensed_medoid_b1,0.0025,0.0024969079582152763,large,completed_streaming,0.7555780580193042,,,0.174593814714352,0.174593814714352,0.11342605750338396,,,,0.5809842433049522,4094,2021,6115,8188,,209984820,,0.17031559999999502,4.023559800000001,,,False,False,False,False,False,False,False,False,False,False,not_promoted,streaming SFT coreset over memmap block signatures
ogbn-products,P4_shadow_condensed_herding_b1,0.0025,0.0024969079582152763,large,completed_streaming,0.7555780580193042,,,0.10872711515251746,0.10872711515251746,0.08886849416925892,,,,0.6468509428667868,4094,2021,6115,8188,,209984820,,0.1569794999999985,4.0934551,,,False,False,False,False,False,False,False,False,False,False,not_promoted,streaming SFT coreset over memmap block signatures
ogbn-products,P5_shadow_condensed_hybrid_b1,0.0025,0.002496091308024527,large,completed_streaming,0.7555780580193042,,,0.14516664701090015,0.14516664701090015,0.1074883741996578,,,,0.610411411008404,4092,2021,6113,8184,,209984820,,0.16743370000000368,4.088627799999998,,,False,False,False,False,False,False,False,False,False,False,not_promoted,streaming SFT coreset over memmap block signatures
ogbn-products,P6_best_shadow_b2_ablation,0.0025,0.0024969079582152763,large,completed_derived_ablation,0.7555780580193042,,,0.174593814714352,0.174593814714352,0.11342605750338396,,,,0.5809842433049522,4094,2021,6115,8188,,209984820,,0.17031559999999502,4.023559800000001,,,False,False,False,False,False,False,False,False,False,False,not_promoted,derived ablation rows are not promoted
ogbn-products,P7_best_shadow_ks_ablation,0.0025,0.0024969079582152763,large,completed_derived_ablation,0.7555780580193042,,,0.174593814714352,0.174593814714352,0.11342605750338396,,,,0.5809842433049522,4094,2021,6115,8188,,209984820,,0.17031559999999502,4.023559800000001,,,False,False,False,False,False,False,False,False,False,False,not_promoted,derived ablation rows are not promoted
ogbn-products,P0_identity_replay,0.005,0.00499994079286117,large,completed_fullgraph_replay,0.7555780580193042,0.7555780580193042,,,0.7555780580193042,0.4046991170720907,0.0,,,,8204,4041,12245,0,,209984820,,,,,,False,False,False,False,False,False,False,False,False,False,not_promoted,identity replay is reference only
ogbn-products,P2_shadow_condensed_centroid_b1,0.005,0.004982382813760066,large,completed_streaming,0.7555780580193042,,,0.2740235263710349,0.2740235263710349,0.179915990105431,,,,0.48155453164826933,8161,4041,12202,16322,,209984820,,0.35140029999999456,4.114159199999996,,,False,False,False,False,False,False,False,False,False,False,not_promoted,streaming SFT coreset over memmap block signatures
ogbn-products,P3_shadow_condensed_medoid_b1,0.005,0.004982382813760066,large,completed_streaming,0.7555780580193042,,,0.27363176661059124,0.27363176661059124,0.20221363326640582,,,,0.481946291408713,8161,4041,12202,16322,,209984820,,0.35149299999999783,4.139138500000001,,,False,False,False,False,False,False,False,False,False,False,not_promoted,streaming SFT coreset over memmap block signatures
ogbn-products,P4_shadow_condensed_herding_b1,0.005,0.004982382813760066,large,completed_streaming,0.7555780580193042,,,0.251009560835953,0.251009560835953,0.17881930538716506,,,,0.5045684971833513,8161,4041,12202,16322,,209984820,,0.347501500000007,4.048581300000009,,,False,False,False,False,False,False,False,False,False,False,not_promoted,streaming SFT coreset over memmap block signatures
ogbn-products,P5_shadow_condensed_hybrid_b1,0.005,0.004981566163569317,large,completed_streaming,0.7555780580193042,,,0.25413550549887015,0.25413550549887015,0.1536286239572068,,,,0.501442552520434,8159,4041,12200,16318,,209984820,,0.3361433999999974,4.100067499999994,,,False,False,False,False,False,False,False,False,False,False,not_promoted,streaming SFT coreset over memmap block signatures
ogbn-products,P6_best_shadow_b2_ablation,0.005,0.004982382813760066,large,completed_derived_ablation,0.7555780580193042,,,0.2740235263710349,0.2740235263710349,0.179915990105431,,,,0.48155453164826933,8161,4041,12202,16322,,209984820,,0.35140029999999456,4.114159199999996,,,False,False,False,False,False,False,False,False,False,False,not_promoted,derived ablation rows are not promoted
ogbn-products,P7_best_shadow_ks_ablation,0.005,0.004982382813760066,large,completed_derived_ablation,0.7555780580193042,,,0.2740235263710349,0.2740235263710349,0.179915990105431,,,,0.48155453164826933,8161,4041,12202,16322,,209984820,,0.35140029999999456,4.114159199999996,,,False,False,False,False,False,False,False,False,False,False,not_promoted,derived ablation rows are not promoted
