dataset,method,feature_dim,projection_type,loss_type,model,accuracy_std,macro_f1_std,status,accuracy,macro_f1,skeleton_coverage_mean,residual_energy_mean,shadow_recon_err_mean,prototype_train_acc,ratio,ratio_base,budget_mode,requested_target_budget,effective_target_prototypes,M_requested,M_effective,num_train_target_nodes,num_train_classes,min_proto_per_class,baseline_match_mode,baseline_budget,shadow_condensed_nodes_total,shadow_nodes_total,condensed_nodes_total,condensed_edges_total,effective_target_ratio,condensed_node_ratio_to_train_target,condensed_node_ratio_to_all_task_nodes,predicted_classes,condense_s,train_s,infer_s,peak_cpu_ram_gb,peak_gpu_ram_gb,source_log
ogbn-arxiv,Shadow-HGC-R-1,128,random,sqrt_weighted,relation_linear,0.000000,0.000000,completed,0.392136,0.278235,0.645183,0.588843,0.500706,1.000000,0.001,train_target,ratio,160,160,160,160,90941,40,4,,,,80,240,1361,0.001759382456757678,0.002639073685136517,0.0014172419291024725,40,13.551302,0.559895,0.134952,2.637443,0.000000,experiments/logs/medium_ratio_grid/ogbn-arxiv_r0p001.json
ogbn-arxiv,Shadow-HGC-R-1,128,random,sqrt_weighted,relation_linear,0.000000,0.000000,completed,0.428842,0.292746,0.592893,0.582626,0.461181,1.000000,0.0025,train_target,ratio,227,227,227,227,90941,40,4,,,,114,341,1948,0.002496123860524956,0.0037496838609648014,0.0020136645742664296,40,12.750018,0.535643,0.121957,3.168371,0.000000,experiments/logs/medium_ratio_grid/ogbn-arxiv_r0p0025.json
ogbn-arxiv,Shadow-HGC-R-1,128,random,sqrt_weighted,relation_linear,0.000000,0.000000,completed,0.429377,0.288886,0.511177,0.629182,0.435402,1.000000,0.005,train_target,ratio,455,455,455,455,90941,40,4,,,,228,683,3873,0.005003243861404647,0.0075103638622843385,0.0040332343232374526,40,16.751008,0.590161,2.825989,3.143647,0.000000,experiments/logs/medium_ratio_grid/ogbn-arxiv_r0p005.json
ogbn-arxiv,Shadow-HGC-R-1,128,random,sqrt_weighted,relation_linear,0.000000,0.000000,completed,0.422032,0.285076,0.473205,0.681314,0.453189,1.000000,0.01,train_target,ratio,909,909,909,909,90941,40,4,,,,456,1365,7748,0.009995491582454559,0.015009731584213941,0.008060563471770312,40,24.956064,0.928217,0.125807,3.176522,0.000000,experiments/logs/medium_ratio_grid/ogbn-arxiv_r0p01.json
ogbn-products,Herding-HG,128,random,,,0.000000,,completed,0.271518,,,,,,0.001,train_target,ratio,179,179,179,179,,,,target_ratio,179,269,,179,0,,0.0009104086666836202,7.309019207204161e-05,,0.000000,0.208911,0.000000,,,experiments/logs/medium_ratio_grid/ogbn-products_Herding_HG_target_ratio_r0p001_seed0.json
ogbn-products,Herding-HG,128,random,,,0.000000,,completed,0.240620,,,,,,0.0025,train_target,ratio,474,474,474,474,,,,target_ratio,474,712,,474,0,,0.0024108028380337206,0.00019354609520752918,,0.000000,0.266854,0.000000,,,experiments/logs/medium_ratio_grid/ogbn-products_Herding_HG_target_ratio_r0p0025_seed0.json
ogbn-products,Herding-HG,128,random,,,0.000000,,completed,0.249028,,,,,,0.005,train_target,ratio,965,965,965,965,,,,target_ratio,965,1449,,965,0,,0.0049080690689927015,0.0003940337170364255,,0.000000,0.210861,0.000000,,,experiments/logs/medium_ratio_grid/ogbn-products_Herding_HG_target_ratio_r0p005_seed0.json
ogbn-products,Herding-HG,128,random,,,0.000000,,completed,0.265890,,,,,,0.01,train_target,ratio,1948,1948,1948,1948,,,,target_ratio,1948,2922,,1948,0,,0.009907687612847443,0.0007954172857895925,,0.000000,0.308865,0.000000,,,experiments/logs/medium_ratio_grid/ogbn-products_Herding_HG_target_ratio_r0p01_seed0.json
ogbn-products,K-Center-HG,128,random,,,0.000000,,completed,0.085671,,,,,,0.001,train_target,ratio,179,179,179,179,,,,target_ratio,179,269,,179,0,,0.0009104086666836202,7.309019207204161e-05,,0.000000,0.191163,0.000000,,,experiments/logs/medium_ratio_grid/ogbn-products_K_Center_HG_target_ratio_r0p001_seed0.json
ogbn-products,K-Center-HG,128,random,,,0.000000,,completed,0.114547,,,,,,0.0025,train_target,ratio,474,474,474,474,,,,target_ratio,474,712,,474,0,,0.0024108028380337206,0.00019354609520752918,,0.000000,0.217376,0.000000,,,experiments/logs/medium_ratio_grid/ogbn-products_K_Center_HG_target_ratio_r0p0025_seed0.json
