dataset,base_variant,candidate_components,component_accs,component_macro_f1s,component_forbidden_flags,ensemble_mode,weights,temperatures,valid_acc,test_acc,macro_f1,predicted_class_count,uses_bounded_edges,uses_diffusion,uses_dense_p2,promotion_status,promotion_reason
acm,B3_scap_v2,"[""base"", ""best_logit_correct"", ""best_pseudo_scap""]","[0.8956562876701355, 0.906987726688385, 0.8956562876701355]","[0.8962585926055908, 0.9076114495595297, 0.8962492942810059]","[false, false, false]",nonnegative_grid,"[0.05, 0.65, 0.3]","[1.0, 1.0, 1.0]",0.9285714030265808,0.8980169892311096,0.8986673355102539,3,False,False,False,blocked,"validation_no_improvement,test_regression"
acm,B3_scap_v2,"[""base"", ""best_logit_correct"", ""best_pseudo_scap""]","[0.8956562876701355, 0.906987726688385, 0.8956562876701355]","[0.8962585926055908, 0.9076114495595297, 0.8962492942810059]","[false, false, false]",nonnegative_grid,"[0.05, 0.7, 0.25]","[1.0, 1.0, 1.0]",0.9285714030265808,0.8980169892311096,0.8986673355102539,3,False,False,False,blocked,"validation_no_improvement,test_regression"
acm,B3_scap_v2,"[""base"", ""best_logit_correct"", ""best_pseudo_scap""]","[0.8956562876701355, 0.906987726688385, 0.8956562876701355]","[0.8962585926055908, 0.9076114495595297, 0.8962492942810059]","[false, false, false]",nonnegative_grid,"[0.05, 0.75, 0.2]","[1.0, 1.0, 1.0]",0.9285714030265808,0.8984891176223755,0.8991213838259379,3,False,False,False,blocked,"validation_no_improvement,test_regression"
acm,B3_scap_v2,"[""base"", ""best_logit_correct"", ""best_pseudo_scap""]","[0.8956562876701355, 0.906987726688385, 0.8956562876701355]","[0.8962585926055908, 0.9076114495595297, 0.8962492942810059]","[false, false, false]",nonnegative_grid,"[0.05, 0.8, 0.15]","[1.0, 1.0, 1.0]",0.9340659379959106,0.8980169892311096,0.8986673355102539,3,False,False,False,blocked,"validation_no_improvement,test_regression"
acm,B3_scap_v2,"[""base"", ""best_logit_correct"", ""best_pseudo_scap""]","[0.8956562876701355, 0.906987726688385, 0.8956562876701355]","[0.8962585926055908, 0.9076114495595297, 0.8962492942810059]","[false, false, false]",nonnegative_grid,"[0.05, 0.85, 0.1]","[1.0, 1.0, 1.0]",0.9340659379959106,0.8980169892311096,0.8986673355102539,3,False,False,False,blocked,"validation_no_improvement,test_regression"
acm,B3_scap_v2,"[""base"", ""best_logit_correct"", ""best_pseudo_scap""]","[0.8956562876701355, 0.906987726688385, 0.8956562876701355]","[0.8962585926055908, 0.9076114495595297, 0.8962492942810059]","[false, false, false]",nonnegative_grid,"[0.05, 0.9, 0.05]","[1.0, 1.0, 1.0]",0.9340659379959106,0.8980169892311096,0.8986673355102539,3,False,False,False,blocked,"validation_no_improvement,test_regression"
acm,B3_scap_v2,"[""base"", ""best_logit_correct"", ""best_pseudo_scap""]","[0.8956562876701355, 0.906987726688385, 0.8956562876701355]","[0.8962585926055908, 0.9076114495595297, 0.8962492942810059]","[false, false, false]",nonnegative_grid,"[0.05, 0.95, 0.0]","[1.0, 1.0, 1.0]",0.9340659379959106,0.8984891176223755,0.8991344571113586,3,False,False,False,blocked,"validation_no_improvement,test_regression"
acm,B3_scap_v2,"[""base"", ""best_logit_correct"", ""best_pseudo_scap""]","[0.8956562876701355, 0.906987726688385, 0.8956562876701355]","[0.8962585926055908, 0.9076114495595297, 0.8962492942810059]","[false, false, false]",nonnegative_grid,"[0.1, 0.0, 0.9]","[1.0, 1.0, 1.0]",0.9340659379959106,0.8956562876701355,0.8962492942810059,3,False,False,False,blocked,"validation_no_improvement,test_regression"
acm,B3_scap_v2,"[""base"", ""best_logit_correct"", ""best_pseudo_scap""]","[0.8956562876701355, 0.906987726688385, 0.8956562876701355]","[0.8962585926055908, 0.9076114495595297, 0.8962492942810059]","[false, false, false]",nonnegative_grid,"[0.1, 0.05, 0.85]","[1.0, 1.0, 1.0]",0.9340659379959106,0.8956562876701355,0.8962585926055908,3,False,False,False,blocked,"validation_no_improvement,test_regression"
acm,B3_scap_v2,"[""base"", ""best_logit_correct"", ""best_pseudo_scap""]","[0.8956562876701355, 0.906987726688385, 0.8956562876701355]","[0.8962585926055908, 0.9076114495595297, 0.8962492942810059]","[false, false, false]",nonnegative_grid,"[0.1, 0.1, 0.8]","[1.0, 1.0, 1.0]",0.9340659379959106,0.8956562876701355,0.8962585926055908,3,False,False,False,blocked,"validation_no_improvement,test_regression"
