dataset,base_variant,mode,space,alpha,steps,temperature,correct_alpha,correct_steps,beta,valid_acc_before,valid_acc_after,test_acc_before,test_acc_after,macro_f1_before,macro_f1_after,predicted_class_count_before,predicted_class_count_after,full_edge_execution,uses_bounded_edges,uses_diffusion,uses_dense_p2,promotion_status,promotion_reason
acm,B3_scap_v2,smooth_prob,probabilities,0.1,1,4.0,,,,0.9285714030265808,0.9285714030265808,0.8956562876701355,0.8970727324485779,0.8962585926055908,0.8976861437161764,3,3,True,False,False,False,blocked,validation_no_improvement
acm,B3_scap_v2,smooth_logits,logits,0.1,2,1.0,,,,0.9285714030265808,0.8351648449897766,0.8956562876701355,0.8427761793136597,0.8962585926055908,0.845621665318807,3,3,True,False,False,False,blocked,"validation_no_improvement,test_regression"
acm,B3_scap_v2,smooth_prob,probabilities,0.1,2,1.0,,,,0.9285714030265808,0.9285714030265808,0.8956562876701355,0.8956562876701355,0.8962585926055908,0.8962585926055908,3,3,True,False,False,False,blocked,validation_no_improvement
acm,B3_scap_v2,smooth_prob,probabilities,0.1,2,2.0,,,,0.9285714030265808,0.9285714030265808,0.8956562876701355,0.8956562876701355,0.8962585926055908,0.8962585926055908,3,3,True,False,False,False,blocked,validation_no_improvement
acm,B3_scap_v2,smooth_prob,probabilities,0.1,2,4.0,,,,0.9285714030265808,0.9285714030265808,0.8956562876701355,0.8961284160614014,0.8962585926055908,0.8967296083768209,3,3,True,False,False,False,blocked,validation_no_improvement
acm,B3_scap_v2,smooth_logits,logits,0.1,4,1.0,,,,0.9285714030265808,0.8131868243217468,0.8956562876701355,0.8286119103431702,0.8962585926055908,0.8317885200182596,3,3,True,False,False,False,blocked,"validation_no_improvement,test_regression"
acm,B3_scap_v2,smooth_prob,probabilities,0.1,4,1.0,,,,0.9285714030265808,0.9285714030265808,0.8956562876701355,0.8956562876701355,0.8962585926055908,0.8962585926055908,3,3,True,False,False,False,blocked,validation_no_improvement
acm,B3_scap_v2,smooth_prob,probabilities,0.1,4,2.0,,,,0.9285714030265808,0.9285714030265808,0.8956562876701355,0.8956562876701355,0.8962585926055908,0.8962585926055908,3,3,True,False,False,False,blocked,validation_no_improvement
acm,B3_scap_v2,smooth_prob,probabilities,0.1,4,4.0,,,,0.9285714030265808,0.9285714030265808,0.8956562876701355,0.8961284160614014,0.8962585926055908,0.8967296083768209,3,3,True,False,False,False,blocked,validation_no_improvement
acm,B3_scap_v2,smooth_logits,logits,0.1,8,1.0,,,,0.9285714030265808,0.8241758346557617,0.8956562876701355,0.8182247281074524,0.8962585926055908,0.8214885791142782,3,3,True,False,False,False,blocked,"validation_no_improvement,test_regression"
