dataset,variant,seed,requested_ratio,requested_full_condensed_node_ratio,effective_target_ratio,total_condensed_node_ratio,total_condensed_edge_ratio,byte_size_compression,accuracy,macro_f1,weighted_f1,predicted_class_count,prediction_entropy,prototype_mode,model_type,metapath_blocks,path_lad_blocks,source_anchor_mode,teacher_type,use_kd,condense_time_s,train_time_s,infer_time_s,peak_cpu_ram_gb,peak_gpu_ram_gb,compiled_block_stats_source,status,reason,source_log
acm,Medoid-vs-Mean,42,0.096,,0.09592061742006615,0.024584171083896912,0.002216421571260281,0.023474304635330984,0.8682719469070435,0.8684150377909342,0.8675210773984672,3,1.0963010821793564,kmeans_mean,compiled_demand_mlp,[],[],none,none,False,7.056431700000001,0.9044425,0.04016419999999954,10.57455825805664,0.0,train_full_demand_table,completed,,experiments\logs\sota_diagnostics_seed42\acm_Medoid-vs-Mean_r0p096_seed42.json
acm,CoverageMedoid,42,0.096,,0.09592061742006615,0.027051727289343814,0.002381131413389478,0.025732532442501763,0.7455146312713623,0.7218442956606547,0.7207793415035924,3,1.012664236263314,coverage_medoid,compiled_demand_mlp,[],[],none,none,False,5.761826500000003,0.8576380999999991,0.034557799999998196,14.007892608642578,0.0,train_full_demand_table,completed,,experiments\logs\sota_diagnostics_seed42\acm_CoverageMedoid_r0p096_seed42.json
imdb,PathLAD-off,42,0.048,,0.04814004376367615,0.021568627450980392,0.004570531612843655,0.021272366106778077,0.30387258529663086,0.23062760829925538,0.26396417339143674,5,1.1173697275389907,coverage_medoid,compiled_demand_mlp,[],[],coverage_residual,none,False,2.3808828999999996,0.7881242000000022,0.057568199999998626,15.27016830444336,0.0,train_full_demand_table,completed,,experiments\logs\sota_diagnostics_seed42\imdb_PathLAD-off_r0p048_seed42.json
imdb,PathLAD-on,42,0.048,,0.04814004376367615,0.021568627450980392,0.004570531612843655,0.021272366106778077,0.28107431530952454,0.23565983027219772,0.2696043737555321,5,1.2883961358909772,coverage_medoid,compiled_demand_mlp,[],"[""MDM"", ""MAM"", ""MKM""]",coverage_residual,none,False,2.3514061999999996,0.9722915000000008,0.06167260000000141,15.301685333251953,0.0,train_full_demand_table,completed,,experiments\logs\sota_diagnostics_seed42\imdb_PathLAD-on_r0p048_seed42.json
imdb,KD-off,42,0.048,,0.04814004376367615,0.021568627450980392,0.004570531612843655,0.021272366106778077,0.28107431530952454,0.23565983027219772,0.2696043737555321,5,1.2883961358909772,coverage_medoid,compiled_demand_mlp,[],"[""MDM"", ""MAM"", ""MKM""]",coverage_residual,none,False,2.392059400000001,1.0461342999999985,0.06275220000000203,15.308979034423828,0.0,train_full_demand_table,completed,,experiments\logs\sota_diagnostics_seed42\imdb_KD-off_r0p048_seed42.json
imdb,KD-on,42,0.048,,0.04814004376367615,0.021568627450980392,0.004570531612843655,0.021272366106778077,0.25515303015708923,0.20060989558696746,0.23545978835796325,5,1.27470430298486,coverage_medoid,compiled_demand_mlp,[],"[""MDM"", ""MAM"", ""MKM""]",coverage_residual,sehgnn_lite,True,2.4818905999999963,1.1471864000000025,0.06174670000000049,15.307106018066406,0.0,train_full_demand_table,completed,,experiments\logs\sota_diagnostics_seed42\imdb_KD-on_r0p048_seed42.json
