dataset,ratio,seed,status,fullgraph_acc,identity_condensed_acc,prototype_oracle_acc,shadow_hgc_acc,full_to_identity_gap,identity_to_oracle_gap,oracle_to_shadow_gap,full_to_shadow_gap,bottleneck_label,fullgraph_variant,identity_variant,prototype_oracle_variant,shadow_variant,fullgraph_source_log,identity_source_log,prototype_oracle_source_log,shadow_source_log,schema_compatible,compatibility_reason,condensed_path_inconsistent,reason
acm,0.12,42,completed,0.9027384519577026,0.9027384519577026,,0.8937677145004272,0.0,,,0.008971,training_head_bottleneck,fullgraph_sehgnn_lite_tuned,fullgraph_backbone_reference_proxy,,S1_clean_metapath_sehgnn,experiments\logs\fullgraph_parity_seed42\acm_fullgraph_sehgnn_lite_tuned_seed42.json,,,experiments\logs\sota_clean_small_seed42\acm_S1_clean_metapath_sehgnn_r0p12_seed42.json,False,missing identity/oracle/shadow row,False,
dblp,0.096,42,completed,0.8066901564598083,0.8066901564598083,,0.7845070362091064,0.0,,,0.022183,blocked_by_fullgraph_backbone,fullgraph_dblp_full_schema_sehgnn_lite,fullgraph_backbone_reference_proxy,,S0_current_best,experiments\logs\fullgraph_parity_seed42\dblp_fullgraph_dblp_full_schema_sehgnn_lite_seed42.json,,,experiments\logs\sota_clean_small_seed42\dblp_S0_current_best_r0p096_seed42.json,False,missing identity/oracle/shadow row,False,
imdb,0.05,42,completed,0.4244222342967987,0.4244222342967987,,0.42410993576049805,0.0,,,0.000312,blocked_by_fullgraph_backbone,fullgraph_imdb_sehgnn_lite_MAM_MDM_MKM,fullgraph_backbone_reference_proxy,,S1_clean_MAM_MDM_MKM,experiments\logs\fullgraph_parity_seed42\imdb_fullgraph_imdb_sehgnn_lite_MAM_MDM_MKM_seed42.json,,,experiments\logs\sota_clean_small_seed42\imdb_S1_clean_MAM_MDM_MKM_r0p05_seed42.json,False,missing identity/oracle/shadow row,False,
ogbn-arxiv,0.12,42,completed,0.6615641117095947,0.6615641117095947,0.6143036484718323,0.5967738628387451,0.0,0.04726,0.01753,0.06479,blocked_by_fullgraph_backbone,fullgraph_lad_table_teacher,FullDemandTable-MLP,PrototypeOracleDemand-MLP,LAD_reference,experiments\logs\lad_stage_diagnostics_seed42\ogbn-arxiv_FullDemandTable-MLP_r0p12_seed42.json,experiments\logs\lad_stage_diagnostics_seed42\ogbn-arxiv_FullDemandTable-MLP_r0p12_seed42.json,experiments\logs\lad_stage_diagnostics_seed42\ogbn-arxiv_PrototypeOracleDemand-MLP_r0p12_seed42.json,experiments\logs\lad_stage_medium_seed42\ogbn-arxiv_V2_compiled_plus_lad_r0p12_seed42.json,True,compatible_existing_rows,False,
ogbn-products,0.12,42,completed,0.6884398460388184,0.6884398460388184,0.6576123833656311,0.6586742401123047,0.0,0.030827,-0.001062,0.029766,blocked_by_fullgraph_backbone,fullgraph_lad_table_teacher,FullDemandTable-MLP,PrototypeOracleDemand-MLP,LAD_reference,experiments\logs\lad_stage_diagnostics_seed42\ogbn-products_FullDemandTable-MLP_r0p12_seed42.json,experiments\logs\lad_stage_diagnostics_seed42\ogbn-products_FullDemandTable-MLP_r0p12_seed42.json,experiments\logs\lad_stage_diagnostics_seed42\ogbn-products_PrototypeOracleDemand-MLP_r0p12_seed42.json,experiments\logs\lad_stage_medium_seed42\ogbn-products_V2_compiled_plus_lad_r0p12_seed42.json,True,compatible_existing_rows,False,
