dataset,seed,ratio,ratio_percent,requested_target_budget,effective_target_prototypes,shadow_nodes_total,condensed_nodes_total,condensed_node_ratio_to_train_target,accuracy,macro_f1,predicted_classes,shadow_recon_err_mean,source_log
imdb,0,0.045,4.5,62,62,63,125,0.09117432530999271,0.32760775089263916,0.29039225578308103,5,0.9844247258839353,experiments\logs\small_ratio_sweep_20260608\imdb_r0p045_seed0.json
imdb,0,0.05,5.0,69,69,69,138,0.10065645514223195,0.3338538408279419,0.29633621871471405,5,0.9843104931720705,experiments\logs\small_ratio_sweep_20260608\imdb_r0p05_seed0.json
imdb,0,0.055,5.5,75,75,75,150,0.10940919037199125,0.29668956995010376,0.2649219065904617,5,0.9783228073448962,experiments\logs\small_ratio_sweep_20260608\imdb_r0p055_seed0.json
imdb,0,0.06,6.0,82,82,84,166,0.12107950401167031,0.2841973900794983,0.27075573801994324,5,0.9706972660608657,experiments\logs\small_ratio_sweep_20260608\imdb_r0p06_seed0.json
imdb,0,0.065,6.5,89,89,90,179,0.13056163384390956,0.2885696291923523,0.2688845068216324,5,0.9842086526107646,experiments\logs\small_ratio_sweep_20260608\imdb_r0p065_seed0.json
imdb,0,0.07,7.000000000000001,96,96,96,192,0.1400437636761488,0.30106183886528015,0.28628121316432953,5,0.9831452373692943,experiments\logs\small_ratio_sweep_20260608\imdb_r0p07_seed0.json
imdb,0,0.075,7.5,103,103,105,208,0.15171407731582787,0.31324172019958496,0.27369406819343567,5,0.9672228452994229,experiments\logs\small_ratio_sweep_20260608\imdb_r0p075_seed0.json
imdb,0,0.08,8.0,110,110,111,221,0.1611962071480671,0.28450968861579895,0.27020619809627533,5,0.9832709826899589,experiments\logs\small_ratio_sweep_20260608\imdb_r0p08_seed0.json
imdb,0,0.085,8.5,117,117,117,234,0.17067833698030635,0.29606497287750244,0.2756567090749741,5,0.9826850536069189,experiments\logs\small_ratio_sweep_20260608\imdb_r0p085_seed0.json
imdb,0,0.09,9.0,123,123,123,246,0.17943107221006566,0.3151155412197113,0.29142785668373106,5,0.9772939964452311,experiments\logs\small_ratio_sweep_20260608\imdb_r0p09_seed0.json
imdb,0,0.095,9.5,130,129,129,258,0.18818380743982493,0.31823858618736267,0.2973525643348694,5,0.9862863582739384,experiments\logs\small_ratio_sweep_20260608\imdb_r0p095_seed0.json
imdb,0,0.1,10.0,137,137,138,275,0.20058351568198396,0.2692067325115204,0.2593080967664719,5,0.9736495182925692,experiments\logs\small_ratio_sweep_20260608\imdb_r0p1_seed0.json
imdb,0,0.105,10.5,144,144,144,288,0.2100656455142232,0.2991880178451538,0.2749303847551346,5,0.987064333877291,experiments\logs\small_ratio_sweep_20260608\imdb_r0p105_seed0.json
imdb,0,0.11,11.0,151,151,153,304,0.22173595915390226,0.291380375623703,0.265464723110199,5,0.9778653200606215,experiments\logs\small_ratio_sweep_20260608\imdb_r0p11_seed0.json
imdb,0,0.115,11.5,158,158,159,317,0.2312180889861415,0.2501561641693115,0.23779683709144592,5,0.9671173171365358,experiments\logs\small_ratio_sweep_20260608\imdb_r0p115_seed0.json
imdb,0,0.12,12.0,165,165,165,330,0.24070021881838075,0.27670204639434814,0.26891909539699554,5,0.9802622465641972,experiments\logs\small_ratio_sweep_20260608\imdb_r0p12_seed0.json
