dataset,method,feature_dim,projection_type,loss_type,model,accuracy_std,macro_f1_std,status,accuracy,macro_f1,skeleton_coverage_mean,residual_energy_mean,shadow_recon_err_mean,prototype_train_acc,ratio,ratio_base,budget_mode,requested_target_budget,effective_target_prototypes,M_requested,M_effective,num_train_target_nodes,num_train_classes,min_proto_per_class,baseline_match_mode,baseline_budget,shadow_condensed_nodes_total,shadow_nodes_total,condensed_nodes_total,condensed_edges_total,effective_target_ratio,condensed_node_ratio_to_train_target,condensed_node_ratio_to_all_task_nodes,predicted_classes,condense_s,train_s,infer_s,peak_cpu_ram_gb,peak_gpu_ram_gb,source_log
acm,Random-HG,64,raw,,,0.029705,,completed,0.699874,,,,,,0.005,train_target,ratio,52,52,52,52,,,,total_condensed_nodes,52,52,,52,0,,0.05733186328555678,0.0171900826446281,,0.000000,0.141211,0.000000,,,experiments/logs/small_ratio_grid/acm_Random_HG_total_condensed_nodes_r0p005_seed0.json;experiments/logs/small_ratio_grid/acm_Random_HG_total_condensed_nodes_r0p005_seed1.json;experiments/logs/small_ratio_grid/acm_Random_HG_total_condensed_nodes_r0p005_seed2.json
acm,Random-HG,64,raw,,,0.019248,,completed,0.579792,,,,,,0.01,train_target,ratio,12,12,12,12,,,,target_ratio,12,52,,12,0,,0.013230429988974642,0.003966942148760331,,0.000000,0.132271,0.000000,,,experiments/logs/small_ratio_grid/acm_Random_HG_target_ratio_r0p01_seed0.json;experiments/logs/small_ratio_grid/acm_Random_HG_target_ratio_r0p01_seed1.json;experiments/logs/small_ratio_grid/acm_Random_HG_target_ratio_r0p01_seed2.json
acm,Random-HG,64,raw,,,0.029705,,completed,0.699874,,,,,,0.01,train_target,ratio,52,52,52,52,,,,total_condensed_nodes,52,52,,52,0,,0.05733186328555678,0.0171900826446281,,0.000000,0.142711,0.000000,,,experiments/logs/small_ratio_grid/acm_Random_HG_total_condensed_nodes_r0p01_seed0.json;experiments/logs/small_ratio_grid/acm_Random_HG_total_condensed_nodes_r0p01_seed1.json;experiments/logs/small_ratio_grid/acm_Random_HG_total_condensed_nodes_r0p01_seed2.json
acm,Random-HG,64,raw,,,0.022359,,completed,0.622757,,,,,,0.02,train_target,ratio,18,18,18,18,,,,target_ratio,18,58,,18,0,,0.019845644983461964,0.0059504132231404955,,0.000000,0.134338,0.000000,,,experiments/logs/small_ratio_grid/acm_Random_HG_target_ratio_r0p02_seed0.json;experiments/logs/small_ratio_grid/acm_Random_HG_target_ratio_r0p02_seed1.json;experiments/logs/small_ratio_grid/acm_Random_HG_target_ratio_r0p02_seed2.json
acm,Random-HG,64,raw,,,0.028725,,completed,0.716399,,,,,,0.02,train_target,ratio,58,58,58,58,,,,total_condensed_nodes,58,58,,58,0,,0.0639470782800441,0.019173553719008266,,0.000000,0.142979,0.000000,,,experiments/logs/small_ratio_grid/acm_Random_HG_total_condensed_nodes_r0p02_seed0.json;experiments/logs/small_ratio_grid/acm_Random_HG_total_condensed_nodes_r0p02_seed1.json;experiments/logs/small_ratio_grid/acm_Random_HG_total_condensed_nodes_r0p02_seed2.json
acm,Random-HG,64,raw,,,0.000000,,completed,0.742210,,,,,,0.05,train_target,ratio,110,110,110,110,,,,total_condensed_nodes,110,110,,110,0,,0.12127894156560089,0.03636363636363636,,0.000000,0.162450,0.000000,,,experiments/logs/small_ratio_grid/acm_Random_HG_total_condensed_nodes_r0p05_seed2.json
acm,Random-HG,64,raw,,,0.021483,,completed,0.765108,,,,,,0.05,train_target,ratio,114,114,114,114,,,,total_condensed_nodes,114,114,,114,0,,0.1256890848952591,0.03768595041322314,,0.000000,0.162364,0.000000,,,experiments/logs/small_ratio_grid/acm_Random_HG_total_condensed_nodes_r0p05_seed0.json;experiments/logs/small_ratio_grid/acm_Random_HG_total_condensed_nodes_r0p05_seed1.json
acm,Random-HG,64,raw,,,0.000000,,completed,0.654391,,,,,,0.05,train_target,ratio,43,43,43,43,,,,target_ratio,43,110,,43,0,,0.047409040793825796,0.014214876033057851,,0.000000,0.139103,0.000000,,,experiments/logs/small_ratio_grid/acm_Random_HG_target_ratio_r0p05_seed2.json
acm,Random-HG,64,raw,,,0.010859,,completed,0.702549,,,,,,0.05,train_target,ratio,45,45,45,45,,,,target_ratio,45,114,,45,0,,0.04961411245865491,0.01487603305785124,,0.000000,0.141386,0.000000,,,experiments/logs/small_ratio_grid/acm_Random_HG_target_ratio_r0p05_seed0.json;experiments/logs/small_ratio_grid/acm_Random_HG_target_ratio_r0p05_seed1.json
acm,Self-Only-MLP,64,raw,clipped,relation_mlp,0.012569,0.014355,completed,0.784230,0.781637,,,,1.000000,0.005,train_target,ratio,12,12,12,12,907,3,4,,,,0,12,0,0.013230429988974642,0.013230429988974642,0.003966942148760331,3,1.393542,2.829287,0.039053,23.386182,0.000000,experiments/logs/small_ratio_grid/acm_Self-Only-MLP_r0p005_seed0.json;experiments/logs/small_ratio_grid/acm_Self-Only-MLP_r0p005_seed1.json;experiments/logs/small_ratio_grid/acm_Self-Only-MLP_r0p005_seed2.json
