accuracy,block_norm_stats_source,blocked_by_fullgraph_backbone,dataset,gate_passed,lad_blocks,macro_f1,metapath_blocks,model_type,predicted_class_count,reason,seed,source_log,status,target_gate,use_diffusion,variant,weighted_f1
0.9117091298103333,train_full_target_rows,False,acm,True,,0.912367602189382,"[""PAP"", ""PSP"", ""PTP""]",sehgnn_lite,3,,42,experiments\logs\fullgraph_backbone_audit_seed42\acm_fullgraph_sehgnn_lite_seed42.json,completed,0.9,False,fullgraph_sehgnn_lite,0.9113926391036965
0.7880281805992126,train_full_target_rows,True,dblp,False,,0.7809299379587173,"[""APA""]",sehgnn_lite,4,,42,experiments\logs\fullgraph_backbone_audit_seed42\dblp_fullgraph_sehgnn_lite_seed42.json,completed,0.88,False,fullgraph_sehgnn_lite,0.7878702421590769
0.40818238258361816,train_full_target_rows,True,imdb,False,,0.36262465715408326,"[""MDM"", ""MAM"", ""MKM""]",sehgnn_lite,5,,42,experiments\logs\fullgraph_backbone_audit_seed42\imdb_fullgraph_sehgnn_lite_seed42.json,completed,0.55,False,fullgraph_sehgnn_lite,0.4045208359339382
0.6615641117095947,train_full_demand_table,False,ogbn-arxiv,True,"[""P1"", ""P2""]",0.4024657105095685,[],compiled_demand_mlp,36,,42,experiments\logs\lad_stage_diagnostics_seed42\ogbn-arxiv_FullDemandTable-MLP_r0p12_seed42.json,completed_existing_diagnostic,0.65,False,fullgraph_no_diffusion_lad_table_teacher,0.6347454244603976
0.6884398460388184,train_full_demand_table,True,ogbn-products,False,"[""P1"", ""P2""]",0.33906127453008866,[],compiled_demand_mlp,28,,42,experiments\logs\lad_stage_diagnostics_seed42\ogbn-products_FullDemandTable-MLP_r0p12_seed42.json,completed_existing_diagnostic,0.7,False,fullgraph_no_diffusion_lad_table_teacher,0.6508143028560763
