dataset,best_base_variant,best_base_accuracy,best_base_macro_f1,best_t1_variant,best_t1_accuracy,best_t1_macro_f1,delta_accuracy,delta_macro_f1,improved,eligible_for_condensation_recovery,status,reason,uses_diffusion,uses_dense_p2,uses_bounded_edges,promoted
acm,SFB-v2 B3_scap_v2 retained,0.915486,0.91658,,,,,,False,False,blocked_missing_safe_logit_cache,T1 requires split/all-target logits from safe base rows; current artifacts contain metrics but not logits,False,False,False,False
dblp,R+ relation-linear current-best,0.836972,0.829937,,,,,,False,False,blocked_missing_safe_logit_cache,T1 requires split/all-target logits from safe base rows; current artifacts contain metrics but not logits,False,False,False,False
imdb,clean S1 MAM/MDM/MKM,0.42411,0.353932,,,,,,False,False,blocked_missing_safe_logit_cache,T1 requires split/all-target logits from safe base rows; current artifacts contain metrics but not logits,False,False,False,False
ogbn-arxiv,LAD_reference,0.596774,0.415452,,,,,,False,False,blocked_missing_safe_logit_cache,T1 requires split/all-target logits from safe base rows; current artifacts contain metrics but not logits,False,False,False,False
ogbn-products,P0b_Rpp_base_shadow_fusion_reference,0.668908,0.307981,,,,,,False,False,blocked_missing_safe_logit_cache,T1 requires split/all-target logits from safe base rows; current artifacts contain metrics but not logits,False,False,False,False
