dataset,status,accuracy,macro_f1,num_predicted_classes,ablation,setting,seed,skeleton_coverage_mean,residual_energy_mean,shadow_recon_err_mean,prototype_train_acc
ogbn-arxiv,completed,0.059400,0.035018,40,target_target_skeleton,k_s=0,0,0.000000,1.000000,0.365807,0.175000
ogbn-arxiv,completed,0.063556,0.035827,40,target_target_skeleton,k_s=1,0,0.305447,0.768774,0.375600,0.143750
ogbn-arxiv,completed,0.062424,0.035238,40,target_target_skeleton,k_s=2,0,0.470914,0.674272,0.388164,0.131250
ogbn-arxiv,completed,0.062157,0.035614,40,target_target_skeleton,k_s=4,0,0.633464,0.596236,0.399993,0.162500
ogbn-arxiv,completed,0.063062,0.036112,40,target_target_skeleton,k_s=8,0,0.765909,0.546358,0.424527,0.131250
