generated_at,git_commit,config_hash,run_id,dataset,method,M_tau_requested,M_tau_effective,feature_dim,projection_type,loss_type,model,status,shadow_mode,self_only,accuracy,macro_f1,num_predicted_classes,condensation_time,training_time,inference_time
2026-06-07T14:05:55Z,92a00a6,f00ce6e888da948e,ogbn-products-K-Center-HG-seed0-f00ce6e8,ogbn-products,K-Center-HG,179,179,128,random,,,completed,,,0.085671,,,0.000000,0.191163,0.000000
2026-06-07T14:08:24Z,92a00a6,2591b7f0a0250ce5,ogbn-products-K-Center-HG-seed0-2591b7f0,ogbn-products,K-Center-HG,474,474,128,random,,,completed,,,0.114547,,,0.000000,0.217376,0.000000
2026-06-07T14:11:10Z,92a00a6,a132cafa65ccf449,ogbn-products-K-Center-HG-seed0-a132cafa,ogbn-products,K-Center-HG,965,965,128,random,,,completed,,,0.161344,,,0.000000,0.220271,0.000000
2026-06-07T14:14:58Z,92a00a6,27fa4ac77613de19,ogbn-products-K-Center-HG-seed0-27fa4ac7,ogbn-products,K-Center-HG,1948,1948,128,random,,,completed,,,0.177375,,,0.000000,0.303682,0.000000
2026-06-07T14:05:07Z,92a00a6,6b5ac71452af0876,ogbn-products-Shadow-HGC-R-1-seed0-6b5ac714,ogbn-products,Shadow-HGC-R-1,197,179,128,random,sqrt_weighted,relation_linear,completed,virtual_demand_shadow,False,0.404852,0.180029,42,27.047593,0.530251,54.881532
2026-06-07T14:07:27Z,92a00a6,568351b75abb92f8,ogbn-products-Shadow-HGC-R-1-seed0-568351b7,ogbn-products,Shadow-HGC-R-1,492,474,128,random,sqrt_weighted,relation_linear,completed,virtual_demand_shadow,False,0.408520,0.178773,41,32.184937,0.720101,58.951352
2026-06-07T14:10:20Z,92a00a6,5beecbc44dd080fd,ogbn-products-Shadow-HGC-R-1-seed0-5beecbc4,ogbn-products,Shadow-HGC-R-1,983,965,128,random,sqrt_weighted,relation_linear,completed,virtual_demand_shadow,False,0.419678,0.183089,41,41.257257,4.520554,70.663991
2026-06-07T14:13:27Z,92a00a6,841ca52393a94cb7,ogbn-products-Shadow-HGC-R-1-seed0-841ca523,ogbn-products,Shadow-HGC-R-1,1966,1948,128,random,sqrt_weighted,relation_linear,completed,virtual_demand_shadow,False,0.417144,0.185177,41,63.850531,1.634628,70.974464
2026-06-07T14:05:54Z,92a00a6,81f73b3b2a14d07c,ogbn-products-Random-HG-seed0-81f73b3b,ogbn-products,Random-HG,179,179,128,random,,,completed,,,0.205133,,,0.000000,0.227095,0.000000
2026-06-07T14:08:22Z,92a00a6,b6bfa8136ac496ee,ogbn-products-Random-HG-seed0-b6bfa813,ogbn-products,Random-HG,474,474,128,random,,,completed,,,0.271659,,,0.000000,0.230357,0.000000
2026-06-07T14:11:09Z,92a00a6,6630590603799b2f,ogbn-products-Random-HG-seed0-66305906,ogbn-products,Random-HG,965,965,128,random,,,completed,,,0.320668,,,0.000000,0.222558,0.000000
2026-06-07T14:14:55Z,92a00a6,504ba65474c3715f,ogbn-products-Random-HG-seed0-504ba654,ogbn-products,Random-HG,1948,1948,128,random,,,completed,,,0.364079,,,0.000000,0.354852,0.000000
2026-06-07T14:05:53Z,92a00a6,1e71e83adaf5773c,ogbn-products-Self-Only-MLP-seed0-1e71e83a,ogbn-products,Self-Only-MLP,197,179,128,random,sqrt_weighted,relation_mlp,completed,virtual_demand_shadow,True,0.242572,0.070686,42,39.587340,0.562309,5.390747
2026-06-07T14:08:21Z,92a00a6,62494e547b55049d,ogbn-products-Self-Only-MLP-seed0-62494e54,ogbn-products,Self-Only-MLP,492,474,128,random,sqrt_weighted,relation_mlp,completed,virtual_demand_shadow,True,0.319240,0.100878,42,49.353393,0.957712,2.721840
2026-06-07T14:11:08Z,92a00a6,c2b72200084dafe9,ogbn-products-Self-Only-MLP-seed0-c2b72200,ogbn-products,Self-Only-MLP,983,965,128,random,sqrt_weighted,relation_mlp,completed,virtual_demand_shadow,True,0.354353,0.117617,42,43.102838,1.222364,2.471834
2026-06-07T14:14:53Z,92a00a6,fea82a51fa078195,ogbn-products-Self-Only-MLP-seed0-fea82a51,ogbn-products,Self-Only-MLP,1966,1948,128,random,sqrt_weighted,relation_mlp,completed,virtual_demand_shadow,True,0.400986,0.139453,42,79.618904,3.416990,2.805943
2026-06-07T14:27:16Z,92a00a6,f925d2a6f2636b4c,ogbn-products-Shadow-HGC-R-1-seed0-f925d2a6,ogbn-products,Shadow-HGC-R-1,197,179,128,random,clipped,relation_linear,completed,virtual_demand_shadow,False,0.428099,0.182072,35,27.929678,0.580882,50.197585
2026-06-07T14:29:10Z,92a00a6,f1f4f7c5bb436d1d,ogbn-products-Shadow-HGC-R-1-seed0-f1f4f7c5,ogbn-products,Shadow-HGC-R-1,492,474,128,random,clipped,relation_linear,completed,virtual_demand_shadow,False,0.423715,0.184567,34,39.097301,0.768366,73.142306
2026-06-07T14:31:41Z,92a00a6,6357a4fb703f5082,ogbn-products-Shadow-HGC-R-1-seed0-6357a4fb,ogbn-products,Shadow-HGC-R-1,983,965,128,random,clipped,relation_linear,completed,virtual_demand_shadow,False,0.436069,0.188419,33,67.811624,4.465538,77.983491
